CountryShort,CountryLong,Year,ValueNumeric,Unit,Data_source
EU28,EU-28,1990,531.2329746,gCO2/kWh,EEA
EU28,EU-28,1991,516.0344671,gCO2/kWh,EEA
EU28,EU-28,1992,503.5711119,gCO2/kWh,EEA
EU28,EU-28,1993,473.9991179,gCO2/kWh,EEA
EU28,EU-28,1994,469.0133033,gCO2/kWh,EEA
EU28,EU-28,1995,454.3358462,gCO2/kWh,EEA
EU28,EU-28,1996,442.4168807,gCO2/kWh,EEA
EU28,EU-28,1997,429.7436445,gCO2/kWh,EEA
EU28,EU-28,1998,431.7283233,gCO2/kWh,EEA
EU28,EU-28,1999,419.1558936,gCO2/kWh,EEA
EU28,EU-28,2000,405.847546,gCO2/kWh,EEA
EU28,EU-28,2001,403.3949857,gCO2/kWh,EEA
EU28,EU-28,2002,408.3150971,gCO2/kWh,EEA
EU28,EU-28,2003,412.4192223,gCO2/kWh,EEA
EU28,EU-28,2004,400.5175628,gCO2/kWh,EEA
EU28,EU-28,2005,394.727157,gCO2/kWh,EEA
EU28,EU-28,2006,396.1060898,gCO2/kWh,EEA
EU28,EU-28,2007,401.4618764,gCO2/kWh,EEA
EU28,EU-28,2008,378.7705367,gCO2/kWh,EEA
EU28,EU-28,2009,361.8270551,gCO2/kWh,EEA
EU28,EU-28,2010,349.0294631,gCO2/kWh,EEA
EU28,EU-28,2011,354.1611209,gCO2/kWh,EEA
EU28,EU-28,2012,354.3687205,gCO2/kWh,EEA
EU28,EU-28,2013,335.4345402,gCO2/kWh,EEA
EU28,EU-28,2014,323.0071063,gCO2/kWh,EEA
EU28,EU-28,2015,317.5361487,gCO2/kWh,EEA
EU28,EU-28,2016,299.9492139,gCO2/kWh,EEA
EU28,EU-28,2017,294.2060978,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1990,509.420299,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1991,494.368269,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1992,483.7394684,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1993,458.5032646,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1994,456.9264115,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1995,442.3407809,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1996,430.2958357,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1997,420.0706656,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1998,422.6189452,gCO2/kWh,EEA
EU27,EU-27 (from 2020),1999,411.8627846,gCO2/kWh,EEA
EU27,EU-27 (from 2020),2000,393.2710348,gCO2/kWh,EEA
EU27,EU-27 (from 2020),2001,387.911622,gCO2/kWh,EEA
EU27,EU-27 (from 2020),2002,394.7483474,gCO2/kWh,EEA
EU27,EU-27 (from 2020),2003,398.3121147,gCO2/kWh,EEA
EU27,EU-27 (from 2020),2004,384.0297671,gCO2/kWh,EEA
EU27,EU-27 (from 2020),2005,378.8483087,gCO2/kWh,EEA
EU27,EU-27 (from 2020),2006,377.8248822,gCO2/kWh,EEA
