Years,Belgium,Bulgaria,Czechia,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,United Kingdom,Bosnia and Herzegovina,Montenegro,Moldova,North Macedonia,Albania,Serbia,Türkiye,Ukraine,Kosovo,Georgia
1990,59108,36484,53037,28862,481001,7299,11968,29666,129164,321457.643,13742,218778,1816,8320,12729,4127,33010,910,75000,43577,109195,23950,60216,9394,25101,59473,130778,3914,:,97373,284416,:,:,:,4980,1780,31190.3,46820,229737,:,:
1991,61783,31230,49708,29829,481055,7204,12560,30514,132079,344562.205,11937,223687,1898,8013,12681,4220,30945,1204,77137,45767,102833,25256.363,50253,9014,23467,59637,132335,3891,:,99546,290842,:,:,:,5052,1341,30227.1,49283,223894,:,:
1992,63871,27575,48148,30337,475878,6170,13303,32024,134256,353533.475,9822,228069,2133,6344,9722,4250,29745,1256,79365,45281,98444,26035.358,46736,8609,21338,60328,122000,3979,:,100058,291453,:,:,:,5536,1444,29151.3,53985,207964,:,:
1993,64644,27890,47773,30709,467164,4927,13641,32613,134105,353983.329,9759,228964,2323,4731,7342,4376,28470,1270,80551,45903,99335,26375.684,45614,8637,21134,62857,123167,4188,:,101571,295746,:,:,:,4875,1697,22715.1,59237,190189,:,:
1994,67822,27875,49312,31728,465073,5223,14243,34239,140003,360499.72,9941,236555,2427,4402,7183,4633,28740,1215,83222,46538,100003,27430.814,44841,9354,21161,65762,124569,4312,:,102642,291782,:,:,:,5012,1875,23725,61401,165808,:,:
1995,69829,30746,52155,31568,472579,5012,14931,35643,145542,365879.695,10300,243465,2237,4465,7094,4995,28920,1259,85014,47651,103810,29290.952,46461,9486,22619,65929,126736,4409,:,104581,303805,:,:,:,5180,2084,25766.2,67394,157838,:,:
1996,71405,32053,54146,32403,479658,5334,15940,37167,151522,382301.173,10682,245954,2315,4134,7345,4903,29836,1339,88138,49270,107293,30689.75,46147,9635,24358,67246,128349,4434,:,103993,319778,:,:,:,5413,2818,27473.9,74157,141937,:,:
1997,73321,28524,53163,32487,482877,5581,16783,38875,163446,379487.686,11456,253674,2403,4191,7465,5143,29848,1360,91184,49884,108851,32438.539,47024,9974,23746,71207,127585,4891,:,104727,321066,:,:,:,5585,2148,28257.5,81885,136275,:,:
1998,75527,27744,52196,32608,487477,5579,17768,40979,169680,391321.553,11464,260809,2635,4505,7631,5306,30084,1402,94822,50699,108661,34411.839,44029,10210,21903,73608,128818,5634,:,110283,325590,:,:,:,5681,2277,28331.1,87704,129803,:,:
1999,76050,25358,51178,32759,490652,5285,18917,42274,181448,400510.652,12092,267284,2790,4468,7275,5523,31075,1516,96833,51846,107026,36741.481,38996,10450,23802,75051,128911,6520,:,110111,332054,:,:,:,5321,4367,26180.4,91202,125918,:,:
2000,79166,25426,52292,33006,501411,5421,20314,44982,194705,407400.832,12212,279319.219,3017,4484,6959,5790.12,30859,1567,99996,52553,108818,38939,41300,10663,22892,76466,131136,7061,:,110498,340297,:,:,:,5408,4448,27938.5,98296,124099,2314,:
2001,79816,25776,53775,33213,512637,5604,21041,46389,207290,418800.16,12380,285491.258,3131,4583,7289,5842.789,32199,1569,102042,54650,109139,40541,42299,11090,24345,78195,134605,7366,:,113190,342504,:,:,:,5216,4106,29225.1,97068,122166,2927,:
2002,80438,25287,53669,33173,525510,5683,21929,48579,211854,417284.905,13104,290959.514,3407,4882,7567,5918.916,33332,1657,103317,54906,107657,42117,41516,11822,24435,80552,133212,7700,:,109985,344109,:,:,:,5165,4780,29529.4,102948,123384,2908,:
