,Unnamed: 0_level_0,2016,,2017,,2018,,2019,,2020,,2021,,2019,2021,Share of totalconsumption
,Country or territory,New,Total,New,Total,New,Total,New,Total,New,Total,New,Total,W per capita 2019,W per capita 2021,Share of totalconsumption1
0,China,34540,78070,53000,131000,45000,175018,30100,204700,49655,254355,52618,306973,147,217,6.2% (2020)[23]
1,European Union,,101433,5717,107150,8300,115234,16000,134129,18788,152917,25783,178700,295,400,6.0% (2020)[23]
2,United States,14730,40300,10600,51000,10600,53184,13300,60682,14890,75572,19637,95209,184,289,3.4% (2020)[23]
3,Japan,8600,42750,7000,49000,6500,55500,7000,63000,4000,67000,7191,74191,498,590,8.3% (2020)[23]
4,Germany,1520,41220,1800,42000,3000,45930,3900,49200,4583,53783,4678,58461,593,702,9.7% (2020)[23]
5,India,3970,9010,9100,18300,10800,26869,9900,35089,4122,39211,10473,49684,32,36,6.5% (2020)[23]
6,Italy,373,19279,409,19700,420,20120,600,20800,800,21600,1098,22698,345,381,8.3% (2020)[23]
7,Australia,839,5900,1250,7200,3800,11300,3700,15928,1699,17627,1449,19076,637,742,10.7% (2020)[23]
8,South Korea,850,4350,1200,5600,2000,7862,3100,11200,3375,14575,3586,18161,217,350,3.8% (2020)[23]
9,Vietnam,,6,3,9,97,106,4800,5695,10909,16504,156,16660,60,171,
10,Spain[27],,4669,19,4688,19,4707,4004,8711,5378,14089,1863,15952,186,237,9.0% (2020)[23]
11,France,559,7130,870,8000,1483,9483,417,9900,1833,11733,2985,14718,148,218,2.8% (2020)[23]
12,Netherlands,525,2100,853,2900,1300,4150,2575,6725,3488,10213,4036,14249,396,817,8.9% (2020)[23]
13,United Kingdom,1970,11630,900,12700,408,13108,233,13346,177,13563,126,13689,200,203,4.0% (2020)[23]
14,Brazil[28][29],,200,900,1100,1313,2413,2138,4595,3145,7881,5827,"13,708[30]",22,64,2.5% (2021)[31]
15,Ukraine,99,531,211,742,1200,2003,1557,3560,1800,5360,2702,8062,114,183,5.0% (2020)[32]
16,Turkey,584,832,2600,3400,1600,5063,932,5995,673,6668,1149,7817,73,92,5.9% (2020)[23]
17,Taiwan,,,,,,2618,1482,4100,1717,5817,1883,7700,172,327,
18,Mexico,150,320,150,539,2700,3200,1226,4426,1218,5644,1396,7040,35,55,3.2% (2020)[23]
