Título,balance-electrico_01-2022_12-2022,,,,,,,,,,,
Sistema eléctrico,NACIONAL,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,
 ,,,,,,,,,,,,
 ,ene/22,feb/22,mar/22,abr/22,may/22,jun/22,jul/22,ago/22,sep/22,oct/22,nov/22,dic/22
Hidráulica,"2085,857451","1174,9701699999998","1775,4781440000002","1802,751588","1923,714557","1192,915008","1045,015928","973,565249","1154,833141","719,585021","1311,8317299999999","2750,595903"
Eólica,"5414,777160000001","4712,962772","6528,55121","5655,805974999999","4687,840198","3811,046039","4566,874672","4261,724164","4192,568413","5101,2342960000005","6681,883514","5579,328619"
Solar fotovoltaica,"1569,2916839999998","1693,011465","1455,804583","2582,036214","3352,9741200000003","3223,717662","3391,443749","3240,414313","2698,499156","2025,695111","1541,1213559999999","1132,0108619999999"
Solar térmica,"170,978835","208,192368","120,56837399999999","412,77761","621,247495","534,217867","667,235596","619,95899","437,343279","166,128813","104,76541800000001","59,778183"
Hidroeólica,"1,110916","1,482045","2,1263229999999997","1,752528","1,917174","2,44956","3,562943","3,517675","2,0750949999999997","1,350072","1,1694090000000001","0,367104"
Otras renovables,"428,663218","374,913003","423,881738","430,376969","397,336793","415,880257","409,34559499999995","383,456347","341,44106300000004","367,411857","365,868145","321,123295"
Residuos renovables,"79,365292","72,930818","82,0692505","72,848577","79,96414750000001","76,946932","75,73252049999999","65,4881505","59,668639000000006","71,884421","67,5357145","73,27315549999999"
Generación renovable,"9750,044556","8238,462640999998","10388,479622500001","10958,349461","11064,9944845","9257,173325000002","10159,211003500002","9548,124888499999","8886,428786","8453,289590999999","10074,175286500002","9916,4771215"
Turbinación bombeo,"215,637741","285,079947","273,84815299999997","336,712619","300,01769","271,315011","216,663274","339,437288","304,78576699999996","385,629677","361,66386700000004","485,359059"
Nuclear,"5048,424951","4771,058269","4766,690052","4414,715447","4066,355361","4459,458308","5073,367597","5122,0469299999995","4847,367123","4021,338375","4182,092888","5161,189944"
Ciclo combinado,"5898,394445","4671,261013","3873,33498","3146,865903","3713,639285","6478,9437960000005","8460,442205","8082,02529","7704,899046","7066,690782","4672,403057","4368,588275"
Carbón,"709,9632190000001","568,629528","705,226125","691,004601","527,154558","833,03637","882,232497","819,592534","632,066719","380,331127","319,685821","693,262892"
Motores diésel,"210,125165","185,57552600000002","207,451405","205,100239","215,84438","224,84698999999998","242,769399","245,67277900000002","216,066758","202,310788","192,19661100000002","200,24164499999998"
Turbina de gas,"34,446764","34,328002","38,861629","34,57236","42,307777","47,734012","79,729885","85,532472","84,42261599999999","79,275334","47,409887000000005","48,856536"
Turbina de vapor,"117,429802","102,630663","114,410944","103,636366","86,849653","60,625901","73,212087","102,41701300000001","110,95399099999999","118,59882","93,771169","122,69665499999999"
Fuel + Gas,-,-,-,-,-,-,-,-,-,-,-,-
Cogeneración,"2147,921609","2119,152721","2217,421993","1709,641202","1870,740241","1467,878881","1056,410114","776,246574","739,201649","1094,108793","1451,635239","1099,432043"
Residuos no renovables,"169,946929","144,54671599999998","183,9956055","171,926116","170,5851775","155,909442","181,0204545","164,79721650000002","140,01796900000002","155,069311","127,5905435","134,6680325"
Generación no renovable,"14552,290625000001","12882,262385000004","12381,2408865","10814,174853","10993,494122500002","13999,748711","16265,847512499999","15737,768096499998","14779,781638000002","13503,353007000002","11448,4490825","12314,2950815"
Consumos en bombeo,"-393,061476","-484,65831099999997","-413,673717","-596,643821","-443,41773","-467,84592200000003","-366,431347","-478,121079","-477,588735","-561,0433320000001","-586,962558","-825,886546"
Importación Francia,"519,84937","1212,906506","597,965556","274,867163","464,715035","356,122823","143,167408","32,217664","10,928913","359,522011","257,408635","319,33027899999996"
Importación Portugal,"254,061541","61,858766","298,92078499999997","243,43559","195,765813","105,237496","70,116504","87,92637699999999","159,139374","227,979504","416,536865","938,641159"
Importación Marruecos,"102,0183","40,0583","61,936800000000005","47,8371","62,4411","15,1648","20,543599999999998","6,2245","9,105","6,2716","20,40194","30,8882"
Importación Andorra,-,"0,00102","0,000029999999999999997","0,00228","0,00412",-,-,-,-,-,"0,0004",-
Exportación Francia,"-946,987765","-228,84714300000002","-867,7995890000001","-1057,781223","-843,675122","-619,059595","-1106,9565949999999","-1484,153892","-1763,2293430000002","-1236,969701","-1442,401586","-1781,757198"
Exportación Portugal,"-1025,536349","-1434,858483","-900,282332","-1008,2675","-1087,302663","-1079,413009","-1353,89684","-1122,140969","-1020,317983","-1148,481105","-731,1053270000001","-403,595915"
Exportación Marruecos,"-44,8991","-84,22630000000001","-39,9141","-70,4249","-100,4282","-220,2427","-173,4064","-297,8224","-252,5097","-253,44946","-134,56097","-180,8553"
Exportación Andorra,"-38,48377","-34,804010000000005","-31,12518","-16,537779999999998","-5,35829","-16,53932","-22,25568","-20,35475","-19,77897","-20,359","-20,17605","-39,88017"
Saldo I. internacionales,"-1179,977773","-467,911344","-880,29803","-1586,86927","-1313,838207","-1458,7295049999998","-2422,688003","-2798,10347","-2876,6627089999997","-2065,486151","-1633,896093","-1117,228945"
Demanda en b.c.,"22729,295932","20168,155371","21475,748762","19589,011222999998","20301,23267","21330,346608999997","23635,939165999996","22009,668436","20311,95898","19330,113115000004","19301,765718","20287,656712"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,Balance eléctrico: asignación de unidades de producción según combustible principal.,,,,,,,,,,,
 ,"Otras renovables: incluye biogás, biomasa, hidráulica marina y geotérmica.",,,,,,,,,,,
 ,Los valores de incrementos y año móvil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,
 ,Residuos renovables : generación incluida en otras renovables y cogeneración hasta el 31/12/2014.,,,,,,,,,,,
 ,Turbinación de bombeo puro + estimación de turbinación de bombeo mixto.,,,,,,,,,,,
 ,Ciclo combinado: Incluye funcionamiento en ciclo abierto.,,,,,,,,,,,
 ,Fuel + Gas: En el sistema eléctrico nacional se incluye la generación con grupos auxiliares de Baleares.,,,,,,,,,,,
 ,Cogeneración: los valores de incrementos y año móvil incluyen residuos hasta el 31/12/2014.,,,,,,,,,,,
 ,Residuos no renovables: generación incluida en otras renovables y cogeneración hasta el 31/12/2014.,,,,,,,,,,,
 ,Demanda corregida: corregidos los efectos de temperatura y laboralidad..,,,,,,,,,,,
 ,Valor positivo: saldo importador; valor negativo: saldo exportador.,,,,,,,,,,,
 ,Los valores de incrementos no se calculan cuando los saldos de intercambios tienen distinto signo.,,,,,,,,,,,
 ,Demanda corregida: corregidos los efectos de temperatura y laboralidad.,,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2022 - 31/12/2022,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,26/02/2024 - 09:27:51,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
