Consumo final de energía;Total;Combustibles fósiles sólidos;Antracita;Otros carbones bituminosos;Coque de coquería;Gases manufacturados;Gas de coquería;Gas de altos hornos;Petróleo crudo y productos petrolíferos;Gases Licuados de Petróleo (GLP);Gasolina de motor (sin fracción biofuel);Gasolina de aviación;Carburante tipo queroseno aviones de reacción (sin fracción biofuel);Otro queroseno;Gasóleo y diésel (sin fracción biofuel);Fuelóleo;Coque de petróleo;Gas Natural;Energías renovables y residuos;Solar térmica;Geotérmica;Biomasa;Carbón vegetal;Biogases;Residuos urbanos renovables;Mezcla biogasolina;Biodiésel puro;Mezcla biodiésel;Otros biocarburantes líquidos;Calor ambiente (bombas de calor);Residuos no renovables;Residuos industriales (no renovable);Residuo urbano no renovable;Electricidad;Energía Fósil;Bioenergía
Total;77 873,50;381,5;72,1;166,4;143;112,3;87,3;25;38 527,70;1 491,90;5 916,00;4,7;2 518,10;0,1;27 133,70;715,2;748;12 478,50;6 869,40;344,1;0,2;3 815,90;10,3;103,9;8,7;102,8;15,1;1 256,90;0,3;1 211,20;212;204,8;7,2;19 292,00;58 713,90;5 770,10
Sector industrial;17 946,60;270,7;39,4;153,6;77,7;112,3;87,3;25;2 090,60;133,2;1,7;0;0;0,1;1 016,90;190,6;748;7 051,10;2 124,90;2,9;0;1 796,10;0;41,3;0;0;0;0;0,3;284,2;204,8;204,8;0;6 092,10;11 939,30;1 983,20
Hierro y acero;1 663,90;87,1;39,4;0;47,7;112,3;87,3;25;30,5;7,8;0;0;0;0;11,1;11,6;0;519;0;0;0;0;0;0;0;0;0;0;0;Z;0;0;0;915;1 081,00;21,6
Químico y petroquímico;2 701,50;129,3;0;119,6;9,8;0;0;0;49,8;1,5;0;0;0;0;32,6;15,7;0;1 656,90;10,4;0,2;0;9,6;0;0,6;0;0;0;0;0;Z;0;0;0;855,1;2 145,90;30,9
Metales no férreos;746,9;2,6;0;0;2,6;0;0;0;32,9;1,3;0;0;0;0;15,7;15,8;0;399,7;0,3;0,2;0;0;0;0;0;0;0;0;0;Z;0;0;0;311,4;548,1;7,5
Minerales no metálicos;3 853,50;27,5;0;27,5;0;0;0;0;945,9;62,8;0;0;0;0;97;38;748;1 822,40;277,9;0;0;273,7;0;4,2;0;0;0;0;0;Z;204,8;204,8;0;575,1;3 208,70;292,1
Equipos de transporte;547,8;0;0;0;0;0;0;0;11,3;1,3;0;0;0;0;10;0;0;191,4;0,5;0,3;0;0,3;0;0;0;0;0;0;0;Z;0;0;0;344,5;327,8;8,4
Maquinaria;844;0;0;0;0;0;0;0;66,1;8,6;0;0;0;0;55,5;2;0;342,5;0,7;0,6;0;0,1;0;0;0;0;0;0;0;Z;0;0;0;434,7;566,3;10,4
Industrias extractivas;416,3;0;0;0;0;0;0;0;115,3;1,9;0;0;0;0;111,1;2,3;0;156,3;0,3;0;0;0,3;0;0;0;0;0;0;0;Z;0;0;0;144,5;324;3,7
Comida, bebidas y tabaco;2 643,20;24,2;0;6,6;17,6;0;0;0;242,9;37,4;0;0;0;0;155,2;50,2;0;907,1;478,7;0,9;0;461,5;0;15,9;0;0;0;0;0,3;Z;0;0;0;990,4;1 533,50;501,2
Pasta de papel, papel y artes gráficas;1 694,00;0;0;0;0;0;0;0;66,4;0,9;0;0;0;0;39,7;25,9;0;583,2;543,9;0;0;524;0;19,9;0;0;0;0;0;Z;0;0;0;500,5;831,1;555,8
Madera y productos de madera;642;0;0;0;0;0;0;0;13,5;0,6;0;0;0;0;11,3;1,7;0;30,3;454,5;0;0;454,5;0;0;0;0;0;0;0;Z;0;0;0;143,7;96;457,9
